Country Name,Region,Continent,"Inflación, deflactor del PIB (%) anual",Indice facilidad para hacer negocios,Crecimiento PIB per capita,Empleados agricultura - mujeres,Comercio servicios,"Empleo vulnerable, total",Nuevas empresas registradas (numero),Exportaciones bienes y servicios (% del PIB),Desempleo hombres,Inversión extranjera directa,"Agricultura, silvicultura y pesca, valor agregado",Gasto investigación y desarrollo,Empleos agricultura,PIB per capita US a precios actuales,Desempleo mujeres,Pago de impuestos (numero),Tierras cultivables,"Desempleo, total",Crecimiento población urbana,Contaminación aire,Personas desempleadas educación basica,"Trabajadores asalariados (empleados), total",Exportaciones de bienes y servicios(% anual),Empleados agricultura - hombres,Tecnicos investigación y desarrollo,Medicos (cada 1.000 personas),Personas desempleadas educación avanzada,Personas desempleadas educación intermedia,"Empleadores, total"
Albania,Southern Europe,Europe,0.564,82.0,2.517,47.636,34.387,56.451,2567.0,27.267,17.248,8.691,19.78,,41.283,3952.804,17.122,34.0,22.449,17.193,1.485,100.0,13.5,41.188,0.969,36.407,,1.219,19.276,20.502,2.362
Alemania,Western Europe,Europe,1.685,22.0,0.777,0.954,17.272,5.846,69384.0,42.604,4.962,1.823,0.709,2.934,1.394,41911.011,4.205,9.0,33.956,4.612,0.879,95.953,11.166,89.291,4.873,1.775,1909.854,4.12,2.263,4.231,4.863
Argentina,South America,South America,26.58,126.0,1.661,0.258,5.421,20.753,4958.0,10.706,6.798,1.977,5.157,0.623,0.626,13679.626,8.706,9.0,14.745,8.347,1.185,98.022,10.511,75.653,-2.777,0.875,326.079,3.973,3.268,9.129,3.594
Austria,Western Europe,Europe,2.293,27.0,0.174,4.21,28.199,11.181,6301.0,53.396,6.179,-1.804,1.144,3.05,4.531,43915.228,5.372,12.0,16.312,5.802,1.449,91.474,11.147,82.833,3.027,4.816,2579.546,5.099,3.953,5.508,5.987
Bahamas,Caribbean,North America,5.309,119.0,0.198,1.287,35.756,14.711,,36.338,11.082,0.652,0.827,,3.412,30289.402,12.996,19.0,0.799,12.0,0.888,100.0,18.349,84.421,1.396,5.331,,1.855,3.346,9.77,0.867
Barbados,Caribbean,North America,-0.611,128.0,-1.074,1.6,40.301,15.552,1105.0,,10.632,13.02,1.802,,2.89,18954.291,8.969,28.0,18.605,9.803,-0.022,100.0,11.147,83.716,,4.196,,2.55,5.232,10.628,0.731
Belarús,Eastern Europe,Europe,16.023,49.0,-3.957,7.081,19.67,3.41,6095.0,58.01,7.486,2.927,6.283,0.5,10.212,5967.069,4.255,7.0,27.971,1.0,0.767,100.0,13.393,96.025,2.101,13.411,,5.051,2.994,6.943,0.565
Belice,Central America,North America,-0.305,135.0,0.737,4.532,32.698,26.197,675.0,51.572,5.446,2.696,9.614,,18.082,6154.496,11.093,29.0,3.858,7.578,2.258,100.0,7.756,67.525,-2.402,25.81,,1.126,5.347,9.765,6.278
Bolivia,South America,South America,-4.621,150.0,3.279,30.842,12.359,56.583,3593.0,30.868,2.619,1.681,10.239,,29.677,2996.013,3.788,42.0,4.593,3.111,2.024,100.0,2.917,38.9,-5.919,28.841,,1.558,3.77,4.593,4.517
Bosnia y Herzegovina,Southern Europe,Europe,1.366,90.0,5.687,16.995,13.735,20.211,2323.0,35.115,25.66,2.335,6.038,0.216,17.876,4662.259,30.549,45.0,19.961,27.695,-0.599,100.0,28.928,75.778,9.783,18.462,66.076,2.103,20.455,29.199,4.012
Brasil,South America,South America,7.566,124.0,-4.306,4.597,6.271,26.257,349971.0,12.9,7.233,3.592,4.319,1.371,9.332,8936.197,10.313,9.61,6.523,8.538,1.116,74.928,8.827,69.471,6.82,12.699,,2.158,5.079,7.408,4.272
Bulgaria,Eastern Europe,Europe,2.948,61.0,4.059,4.331,25.207,7.93,42634.0,63.786,9.777,4.372,4.062,0.949,6.856,7078.86,8.417,14.0,32.33,9.143,-0.179,99.966,23.714,87.711,6.479,9.092,,3.968,3.922,8.384,4.359
Bélgica,Western Europe,Europe,1.122,46.0,0.888,0.729,46.259,11.627,22148.0,77.878,9.093,-4.233,0.751,2.428,1.177,40893.805,7.768,11.0,27.346,8.482,0.623,95.104,15.995,84.821,3.67,1.565,,3.025,4.592,8.699,3.552
Canadá,Northern America,North America,-0.868,23.0,-0.112,1.034,12.206,10.474,3052.0,31.85,7.51,3.854,1.87,1.693,1.644,43594.194,6.305,8.0,4.27,6.945,0.811,0.726,14.13,85.001,3.399,2.19,1455.588,2.539,5.321,8.246,4.525
Chile,South America,South America,4.954,59.0,1.114,4.319,9.357,20.546,64781.0,29.191,5.828,7.328,3.709,0.383,8.21,13433.92,7.014,7.0,2.008,6.313,1.087,98.576,6.244,75.317,-2.332,10.869,284.741,2.159,4.839,7.12,4.137
Colombia,South America,South America,2.449,67.0,2.069,6.694,7.63,47.272,60456.0,15.65,6.719,3.959,5.98,0.365,16.32,6248.515,11.119,11.0,1.406,8.572,1.303,96.338,6.62,48.603,1.658,22.994,,2.015,10.61,10.1,4.125
Costa Rica,Central America,North America,3.955,74.0,2.557,7.377,19.097,26.533,13154.0,29.996,7.1,5.236,4.749,0.437,14.387,11714.711,10.338,10.0,4.529,8.415,2.268,99.98,8.969,70.571,2.888,19.012,,1.778,5.848,10.672,2.896
Croacia,Southern Europe,Europe,0.124,51.0,3.552,7.428,30.043,11.855,12558.0,45.425,15.547,0.958,2.963,0.828,9.228,12285.303,16.899,12.0,15.076,16.175,-0.78,100.0,21.353,82.787,10.241,10.766,745.829,3.156,9.24,18.042,5.358
Cuba,Caribbean,North America,3.439,,4.538,8.176,,19.68,,17.147,2.281,,3.836,0.429,18.667,7727.92,2.579,,28.95,2.4,-0.049,100.0,,75.576,-0.1,25.629,,7.759,,,4.743
Dinamarca,Northern Europe,Europe,0.409,4.0,1.386,1.0,41.14,6.02,30378.0,55.814,6.057,0.611,0.908,3.055,2.492,53094.013,6.529,10.0,58.791,6.278,0.839,75.187,10.42,91.133,3.232,3.8,,3.934,4.617,5.38,2.847
Ecuador,South America,South America,-5.476,129.0,-1.303,22.609,5.761,41.669,,22.754,3.018,1.361,8.02,,26.192,5976.16,4.516,8.0,4.3,3.616,1.647,99.389,2.455,55.084,-4.805,28.535,,1.814,4.806,5.867,3.246
El Salvador,Central America,North America,1.308,91.0,2.057,3.859,17.044,36.001,2158.0,29.486,4.371,2.11,5.53,0.143,18.111,3790.341,3.47,41.0,33.634,3.998,1.528,100.0,3.887,59.578,3.28,28.289,14.002,1.566,4.411,5.813,4.422
Eslovenia,Southern Europe,Europe,0.867,37.0,2.316,7.056,26.639,13.22,5478.0,77.664,8.048,4.051,1.974,2.196,6.949,20697.275,10.033,10.0,9.147,8.962,0.493,99.794,13.672,83.083,5.43,6.86,2399.576,2.802,5.767,9.905,3.697
España,Southern Europe,Europe,0.552,31.0,4.142,2.1,15.157,12.121,91750.0,33.299,20.782,1.971,2.723,1.222,4.124,25969.838,23.557,9.0,24.573,22.057,0.219,55.153,30.685,82.597,4.351,5.784,1189.644,3.847,13.374,21.471,5.283
Estados Unidos,Northern America,North America,0.928,6.0,2.19,0.957,6.929,3.727,,12.411,5.366,2.795,1.029,2.787,1.781,57040.208,5.175,10.6,17.104,5.28,0.967,8.465,7.76,93.556,0.32,2.459,,2.57,3.032,7.087,2.718
Estonia,Northern Europe,Europe,1.306,18.0,1.771,2.559,42.253,5.87,15005.0,76.034,6.496,-3.069,2.806,1.468,4.032,17722.156,6.324,8.0,15.528,6.412,0.281,0.0,12.286,90.458,-1.506,5.434,675.118,3.417,3.969,6.927,3.672
Federación de Rusia,Eastern Europe,Europe,7.25,29.0,-2.276,5.112,10.296,5.968,456046.0,28.703,5.862,0.503,3.873,1.101,6.71,9277.714,5.352,9.0,7.428,5.615,0.414,91.827,13.911,92.74,3.673,8.218,483.643,3.942,5.387,5.129,1.292
Finlandia,Northern Europe,Europe,1.633,20.0,0.136,2.196,22.422,10.545,12625.0,35.782,9.874,7.538,2.06,2.872,4.224,42560.346,8.842,8.0,7.378,9.376,0.388,0.0,16.447,85.72,0.244,6.135,,3.413,6.395,10.156,3.736
Francia,Western Europe,Europe,1.134,33.0,0.708,1.654,20.047,7.317,171984.0,31.693,10.792,1.766,1.504,2.227,2.745,36702.432,9.877,9.0,33.748,10.354,0.684,90.412,17.489,88.41,4.525,3.757,1798.355,3.239,6.3,10.799,4.273
Grecia,Southern Europe,Europe,-0.175,79.0,0.431,11.73,26.639,28.078,4746.0,32.186,21.715,0.652,3.822,0.966,12.501,17980.73,28.992,8.0,16.843,24.981,-0.217,100.0,26.59,65.044,5.234,13.07,,5.91,19.734,27.639,6.879
Guatemala,Central America,North America,2.232,96.0,2.202,9.67,10.299,36.932,4936.0,19.83,2.005,1.935,9.967,0.031,31.876,3893.505,3.556,8.0,13.718,2.506,2.509,100.0,2.905,60.322,2.838,42.306,25.596,0.286,1.252,6.382,2.747
Guyana,South America,South America,3.004,134.0,0.083,8.997,13.275,29.846,227.0,,11.426,3.217,25.443,,18.935,5640.416,15.482,35.0,2.134,13.627,0.704,100.0,13.82,64.288,,24.975,,1.804,4.946,16.171,5.866
Haití,Caribbean,North America,5.206,179.0,-0.045,34.959,11.886,74.301,,11.768,11.048,0.712,17.22,,46.923,1411.127,16.677,47.0,42.816,,3.329,100.0,,24.971,0.149,57.079,,0.086,,,0.727
Honduras,Central America,North America,6.933,133.0,1.882,7.395,21.952,41.755,2478.0,45.167,4.527,6.276,12.216,0.015,28.722,2271.203,8.989,59.0,9.098,6.147,3.091,99.999,5.53,48.579,2.9,40.313,9.986,0.586,8.947,12.403,9.666
Hungría,Eastern Europe,Europe,2.776,52.0,3.954,2.69,31.565,7.546,21256.0,87.526,6.617,-4.37,3.79,1.34,4.9,12717.039,7.034,11.0,47.381,6.813,0.15,100.0,17.306,88.992,7.365,6.852,727.353,3.097,2.417,6.401,3.463
Irlanda,Northern Europe,Europe,8.908,24.0,23.444,1.605,117.976,12.434,19207.0,122.925,10.734,74.745,0.868,1.182,5.321,64311.823,8.908,9.0,6.576,9.908,1.262,2.718,16.807,83.535,41.022,8.451,1161.917,3.143,5.637,12.401,4.031
Islandia,Northern Europe,Europe,6.055,26.0,3.354,1.734,40.978,12.241,2385.0,51.652,3.914,6.541,5.291,2.181,4.239,52951.682,4.051,21.0,1.207,3.979,1.077,11.985,6.147,86.202,8.948,6.498,2100.908,3.772,2.733,3.354,1.557
Italia,Southern Europe,Europe,0.783,58.0,0.983,2.438,10.871,17.262,99983.0,29.144,11.316,0.721,1.992,1.339,3.751,30387.129,12.695,14.0,22.322,11.896,0.326,96.755,15.437,75.834,3.986,4.691,,3.87,7.098,11.388,6.904
Jamaica,Caribbean,North America,6.655,71.0,0.605,8.079,36.786,36.967,1806.0,29.922,6.64,6.519,6.308,,17.745,5062.896,11.452,37.0,11.08,13.511,0.769,100.0,5.122,59.932,4.806,25.368,,0.429,6.461,11.992,3.1
Kosovo,Southern Europe,Europe,0.608,57.0,7.368,,25.497,,2539.0,22.451,,5.454,7.677,,,3520.629,,32.0,,32.84,,,46.53,,1.843,,,,18.849,33.667,
Letonia,Northern Europe,Europe,0.387,19.0,4.636,5.042,28.556,9.355,12619.0,62.596,11.088,3.085,3.554,0.619,7.939,13321.975,8.636,7.0,19.763,9.873,-0.777,92.273,21.931,86.06,3.055,10.865,,3.175,4.945,10.838,4.585
Lituania,Northern Europe,Europe,-0.002,11.0,3.805,6.631,27.501,11.062,6184.0,68.604,10.097,2.496,3.437,1.043,9.069,14300.255,8.161,11.0,34.667,9.12,-0.759,99.531,26.062,87.729,2.423,11.605,,4.253,3.676,11.67,1.209
Luxemburgo,Western Europe,Europe,2.219,72.0,-0.115,0.747,270.761,7.226,6642.0,191.835,6.464,53.136,0.224,1.252,1.045,105462.013,7.195,23.0,24.393,6.796,2.688,79.979,10.491,88.787,5.139,1.291,3285.451,2.908,4.754,6.286,3.987
Macedonia del Norte,Southern Europe,Europe,2.003,17.0,4.134,17.492,26.53,21.746,5784.0,48.738,27.105,2.947,9.727,0.444,17.82,5262.687,25.345,7.0,16.416,26.395,-0.051,100.0,30.36,73.936,8.476,18.046,74.351,2.834,21.161,26.915,4.317
Malta,Southern Europe,Europe,4.2,88.0,7.036,0.373,209.439,10.98,5372.0,108.733,5.389,32.103,0.941,0.715,1.467,25481.898,5.39,7.0,28.031,5.389,2.457,100.0,8.825,84.61,24.04,2.158,765.755,3.583,1.976,3.814,4.409
Montenegro,Southern Europe,Europe,2.22,50.0,3.332,8.169,44.842,17.19,3013.0,42.118,17.765,17.26,8.061,0.374,7.72,6517.193,17.312,29.0,0.647,17.555,0.567,100.0,27.195,79.118,5.743,7.331,129.387,2.35,10.288,19.257,3.692
México,Central America,North America,3.225,60.0,1.61,4.319,6.334,27.617,46174.0,34.163,4.223,2.988,3.085,0.429,13.953,10021.239,4.456,6.0,11.342,4.311,1.439,99.715,4.207,68.033,7.029,19.776,120.926,2.358,4.929,5.346,4.35
Nicaragua,Central America,North America,7.589,142.0,3.378,9.663,17.854,40.019,,40.083,4.236,7.58,16.11,0.107,31.203,2074.454,5.446,43.0,12.49,4.7,1.695,99.93,,54.498,-0.984,44.423,,0.92,,,5.483
Noruega,Northern Europe,Europe,-2.804,9.0,0.849,0.928,22.907,6.281,26709.0,38.575,4.563,1.874,1.482,1.923,2.01,74809.966,4.001,4.0,2.21,4.296,1.488,2.025,9.175,92.874,3.926,2.995,,4.451,2.58,3.843,0.845
Panamá,Central America,North America,3.015,86.0,3.461,7.871,29.926,30.66,26608.0,47.387,3.691,9.18,2.95,0.107,14.673,14082.655,5.324,52.0,7.623,4.402,2.219,87.289,4.486,66.271,0.352,19.034,,1.581,2.374,6.07,3.069
Paraguay,South America,South America,1.604,125.0,1.465,16.61,9.845,38.785,653.0,34.735,4.293,1.775,9.44,0.097,22.106,5879.338,4.944,19.0,10.305,4.556,1.916,100.0,5.2,56.231,3.204,25.802,77.526,1.462,2.444,6.127,4.983
Países Bajos,Western Europe,Europe,0.888,42.0,1.669,1.517,49.863,12.994,31509.0,83.992,6.524,48.501,1.806,2.146,2.32,45793.814,7.273,9.0,30.947,6.872,0.98,99.812,10.731,83.838,8.371,3.012,,3.471,3.92,7.207,3.168
Perú,South America,South America,2.691,76.0,2.094,25.153,7.403,47.966,79606.0,21.287,3.211,3.866,7.046,0.117,26.979,6231.712,3.346,8.0,2.973,3.272,1.367,99.973,2.457,48.047,4.262,28.468,,1.296,4.185,4.284,3.986
Polonia,Eastern Europe,Europe,1.321,40.0,4.501,10.36,15.893,17.587,40805.0,47.162,7.336,3.295,2.484,1.004,11.534,12637.522,7.645,7.0,35.556,7.475,-0.274,99.996,10.412,78.768,6.609,12.49,443.602,2.294,3.933,7.394,3.645
Portugal,Southern Europe,Europe,1.962,39.0,2.011,5.378,20.932,12.764,34120.0,40.688,12.161,0.638,1.975,1.243,7.511,19215.781,12.748,8.0,11.68,12.447,0.5,27.458,13.22,81.598,6.252,9.527,752.776,4.75,9.242,13.941,5.638
Reino Unido,Northern Europe,Europe,0.658,8.0,1.416,0.649,21.355,12.544,611478.0,27.846,5.669,1.548,0.631,2.27,1.136,44964.391,5.344,8.0,24.846,5.552,1.109,71.963,8.399,85.017,3.771,1.568,1349.982,2.773,2.906,5.709,2.439
República Checa,Eastern Europe,Europe,1.235,41.0,4.753,1.635,22.756,13.815,26068.0,80.013,4.233,0.899,2.259,1.917,2.925,17931.599,6.08,8.0,32.25,5.048,0.323,99.828,22.692,82.661,5.912,3.925,1825.244,3.952,2.381,4.702,3.524
República Dominicana,Caribbean,North America,2.472,115.0,5.705,1.476,15.058,41.177,8367.0,23.762,5.475,3.13,5.485,,9.715,6819.932,10.894,7.0,18.154,7.605,2.297,99.979,7.159,55.602,3.068,14.745,,1.429,6.12,11.513,3.221
República Eslovaca,,Europe,-0.186,45.0,5.077,1.248,18.054,12.039,12445.0,90.694,10.337,1.705,2.046,1.157,3.098,16442.076,12.902,11.0,28.077,11.492,-0.111,100.0,38.676,84.843,6.752,4.571,389.229,3.451,6.041,10.961,3.118
República de Moldova,Eastern Europe,Europe,11.574,48.0,0.429,59.231,23.477,60.51,4762.0,31.807,2.236,2.897,12.821,0.307,59.561,2749.551,1.318,21.0,52.707,1.781,-0.781,100.0,1.154,39.142,2.571,59.948,67.547,3.085,3.549,1.571,0.347
Rumania,Eastern Europe,Europe,3.265,55.0,3.643,25.613,17.168,27.85,64417.0,41.349,7.543,2.427,4.426,0.488,25.586,8977.017,5.857,14.0,38.152,6.812,-0.494,99.379,7.915,71.025,4.583,25.564,267.4,2.753,4.112,7.223,1.125
San Vicente y las Granadinas,Caribbean,North America,-0.732,130.0,3.336,4.527,45.699,20.293,119.0,,20.604,15.75,6.26,,11.205,7353.736,16.949,36.0,5.128,,0.263,100.0,,73.989,,15.87,,,,,5.718
Santa Lucía,Caribbean,North America,3.237,93.0,-0.338,5.173,66.834,22.009,367.0,,19.202,8.422,2.155,,10.939,10334.923,22.78,35.0,4.377,19.136,0.62,100.0,27.797,71.96,,15.686,,0.655,14.56,21.859,6.031
Serbia,Southern Europe,Europe,2.169,44.0,1.815,16.391,20.992,26.385,7904.0,43.385,16.789,5.674,5.606,0.811,19.409,5820.322,18.739,42.0,29.625,17.66,-0.309,100.0,15.113,69.841,9.042,21.788,420.258,2.904,15.322,19.419,3.774
Suecia,Northern Europe,Europe,2.253,10.0,3.312,1.023,28.162,6.955,45568.0,43.709,7.561,1.949,1.303,3.219,2.036,51197.953,7.291,6.0,6.322,7.432,1.412,3.555,18.863,89.741,5.106,2.961,,4.153,4.264,6.223,3.305
Suiza,Western Europe,Europe,-1.265,36.0,0.494,2.785,35.525,10.269,24244.0,63.829,4.704,17.108,0.626,3.078,3.387,83806.448,4.912,19.0,10.083,4.801,1.168,72.311,8.697,85.025,4.024,3.91,2935.196,4.197,3.68,4.37,4.706
Suriname,South America,South America,4.855,162.0,-4.452,5.213,17.282,18.922,412.0,,4.396,3.583,10.408,,7.246,8813.617,11.493,30.0,0.405,7.22,1.031,100.0,9.141,77.499,,8.489,,1.017,3.606,5.377,3.578
Trinidad y Tobago,Caribbean,North America,-8.734,105.0,-1.095,1.382,14.948,16.76,5165.0,,2.057,0.654,1.658,0.08,3.426,20024.755,2.939,39.0,4.873,2.428,0.145,100.0,2.813,77.769,,4.896,278.167,2.487,1.806,2.492,5.471
Ucrania,Eastern Europe,Europe,38.882,64.0,-9.277,13.214,26.135,17.71,38088.0,52.598,10.124,-0.218,12.059,0.615,15.257,2094.474,8.099,5.0,56.578,9.14,-0.274,100.0,12.23,80.978,-13.165,17.231,186.697,,8.24,10.05,1.312
Uruguay,South America,South America,9.855,101.0,0.023,4.473,16.442,23.149,3326.0,22.478,6.36,4.634,6.131,0.351,8.824,17125.902,8.849,31.0,13.876,7.488,0.453,26.444,8.89,72.676,-0.6,12.333,,3.968,2.206,5.42,4.175
Venezuela,South America,South America,,188.0,,1.262,,31.446,,,5.85,,,0.44,6.334,,6.569,70.0,2.948,5.319,1.063,99.995,4.673,65.045,,9.67,,1.664,5.744,5.595,3.509
